Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Grady Sherrill (44253106),Grady Sherrill,44253106,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,0,
WR,Trevor Gibbs (44253110),Trevor Gibbs,44253110,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Blake Thiry (44253114),Blake Thiry,44253114,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Parker Elmore (44253118),Parker Elmore,44253118,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,PJ MacFarlane (44253122),PJ MacFarlane,44253122,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Jackson Wasserstrom (44253126),Jackson Wasserstrom,44253126,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0.7,
WR,Lebron Bond (44253130),Lebron Bond,44253130,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,OUT
WR,Cade Kaiser (44253134),Cade Kaiser,44253134,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Hunter Stroud (44253139),Hunter Stroud,44253139,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Bruno Massel IV (44253144),Bruno Massel IV,44253144,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Lavar Keys (44253148),Lavar Keys,44253148,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Jaidon Van Pelt (44253152),Jaidon Van Pelt,44253152,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Kortez Rupert (44253156),Kortez Rupert,44253156,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Myles Kendrick (44253160),Myles Kendrick,44253160,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,IU,0,
WR,Chris Petrucci (44253164),Chris Petrucci,44253164,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,OUT
WR,Blake Van Buren (44253168),Blake Van Buren,44253168,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Tyler Kielmeyer (44253173),Tyler Kielmeyer,44253173,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Noah LaPorte (44253178),Noah LaPorte,44253178,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Tom McGlinchey (44253182),Tom McGlinchey,44253182,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,OUT
WR,Frank Covey IV (44253186),Frank Covey IV,44253186,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Carson Grove (44253191),Carson Grove,44253191,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Chase Farrell (44253195),Chase Farrell,44253195,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,OUT
WR,Braden Blueitt (44253199),Braden Blueitt,44253199,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Cam Russell (44253203),Cam Russell,44253203,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Jaden McDuffie (44253208),Jaden McDuffie,44253208,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
WR,Keaton Reinke (44253212),Keaton Reinke,44253212,WR/FLEX/S-FLEX,3000,NW@IU 09/25/2026 08:00PM ET,NW,0,
